parent_asin,verified_purchase,rating,helpful_vote,user_id,review_date
B004RQ2IRG,True,5.0,0,AFUOYIZBU3MTBOLYKOJE5Z35MBDA,2021-04-21 02:36:53
B0026UZEI0,True,5.0,0,AHGAOIZVODNHYMNCBV4DECZH42UQ,2011-06-15 19:52:05
B0055JSYHC,True,5.0,0,AFGEM6BXCYHUILEOA3P2ZYBEF2TA,2021-03-15 20:06:33
B000F9SMUQ,True,1.0,0,AH3OG6QD6EDJGZRVCFKV4B66VWNQ,2014-07-13 02:49:01
B0049D1WVK,False,3.0,0,AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2011-06-25 19:19:55
B00003CXKT,False,4.0,1,AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2002-05-23 21:58:42
B083QN4Y6H,True,5.0,0,AGYEAZK4OEYF2MSSTGJ5WNJDVZKA,2020-06-20 01:19:59
B08L7CJ6NM,True,5.0,0,AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,2022-01-04 21:09:52
B092C24W4G,True,5.0,2,AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,2022-01-03 15:48:08
B01M32UHXG,False,5.0,0,AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,2019-08-23 15:56:46
B002Q2KG1I,False,5.0,0,AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,2017-04-28 22:08:00
B003NXEPY8,True,5.0,0,AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,2016-04-22 01:00:05
B0012N3PMY,True,5.0,0,AFUB7CHTXRPD447QVQCHBZVN2IPQ,2019-07-15 19:26:15
B006X08FR6,True,5.0,0,AFGWR7GZLOWSTFN2QJBE5NMGVEGQ,2015-11-06 13:38:09
B000K4Y80O,True,5.0,1,AFGWR7GZLOWSTFN2QJBE5NMGVEGQ,2014-01-09 11:41:37
B0009P1NXO,True,5.0,1,AFGWR7GZLOWSTFN2QJBE5NMGVEGQ,2013-08-26 10:44:37
B01KAVRPSS,True,4.0,0,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2023-01-05 20:16:43
B09TG5NB37,False,4.0,0,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2022-11-06 00:22:45
B0872JR211,False,4.0,0,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2022-08-01 19:48:34
B003B3V14W,True,4.0,0,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2022-07-20 16:32:43
B01KAWR15O,False,4.0,1,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2022-07-07 16:53:07
B003XOPPFK,False,5.0,1,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2022-04-24 19:47:04
B082K5Z5G7,True,3.0,5,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2021-10-31 23:43:38
B08TZMHLHX,True,3.0,2,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2021-10-31 14:52:24
B07CXBXR2J,True,5.0,12,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2018-09-18 04:48:25
B014JUOKHU,False,5.0,1,AEHZXP35GBAQS4TD74JRUOFZI7SA,2016-06-24 19:10:12
B09WY1YYZJ,True,5.0,1,AGJOKZFVJ665TS2NJFP46AJQJL3Q,2022-09-01 11:50:50
B01K3LZNB6,False,5.0,0,AFQ7WYW4KSH4VI5OVXCP2GV6PBRA,2019-09-09 07:22:41
B00J9U22OY,False,5.0,1,AHT24MMCKVNZ7RGZ46LFEWBUPOFA,2014-07-07 16:49:16
B0041TW6BW,True,5.0,0,AFJOCZGYW6QFTYEYBZXCFZNWONKQ,2016-01-16 00:40:42
B00I5VQ7H6,True,5.0,0,AEOHRV5ZJJZOCSACAJDNNHQJAG7Q,2017-12-28 15:48:21
B013H0Y5EG,True,5.0,0,AFTDSPCG32FV2VPWLEYPDQARTSQA,2019-03-26 02:28:59
B00000B00Y,True,5.0,1,AGZFRAVHZY6FKJ7JUMJ6Y5R7HMHA,2018-08-05 15:45:03
B07DZ84LP4,True,5.0,10,AGK3F6BXYCB6AN2OKEVQ4XJPKFLQ,2019-05-01 18:18:16
B005S2JU06,True,5.0,0,AHDF7J4POYZFSKSU2V2MAOJ6BV6Q,2015-01-28 01:21:26
B07D23QW34,True,5.0,1,AFKJQMCY3HIYNHN3FEMLQXPGIPWA,2021-09-22 17:23:31
B00IAFVQPA,True,4.0,0,AFKJQMCY3HIYNHN3FEMLQXPGIPWA,2021-03-29 23:18:24
B00PG5HKCK,True,5.0,0,AH66FSBWTQC75KM2DSTCHNKVQTGQ,2015-10-19 00:03:56
B00ZUPPH5S,True,5.0,2,AH66FSBWTQC75KM2DSTCHNKVQTGQ,2015-10-18 23:32:56
B00320LBKI,True,5.0,0,AGNYVH3XWJJETCAWURHBFLQPNHPA,2016-08-17 22:30:05
B00130G834,True,5.0,1,AGGJ6SHNO3HLK5JODWEITQQJETKQ,2015-09-25 00:14:23
B00O1F8XM2,True,1.0,0,AFX54TU2SL5JJ53SZ72G6PEMSOOA,2018-11-18 23:19:55
0001529145,True,5.0,0,AG6MS57RFS4F2MZ5XJUINK7J4YCQ,2020-02-29 20:02:40
B000P1CTC6,True,5.0,1,AGQANGDZQGK2IOWOXHOCTPBPQRKA,2016-07-14 14:35:54
B07DFQRHQ5,False,5.0,0,AENAC6DVZYNNTEGCPUA542BD46VA,2023-02-15 20:53:48
B0002X4PFG,False,4.0,1,AE6XLURQ2JFED7NWXHCGH4GQ6OBQ,2015-03-26 04:10:44
B00DC33KI6,True,5.0,0,AGH7IQ2Y3DY4I6FXD5KWXIYAN57A,2016-12-28 18:39:59
B07P1NN9YK,True,5.0,0,AGWWTJ2WJXCTXGD3TFDWUUBYOAXQ,2021-11-20 22:25:35
B07FXYHYVQ,True,5.0,0,AGWWTJ2WJXCTXGD3TFDWUUBYOAXQ,2021-11-20 22:24:30
B01CUWDJCQ,True,2.0,0,AGWWTJ2WJXCTXGD3TFDWUUBYOAXQ,2021-03-12 17:56:30
B000669EXW,True,5.0,0,AFQMW57GEUJGFS6RKLFFPDRNAQFA,2021-04-22 20:51:46
B0019EQCBW,False,5.0,0,AGW7DNVEEOZ55KAPREK54O7DYLKA,2012-06-29 23:33:07
B01HXSB2LC,True,5.0,1,AF364RSCZMTAEVX533SS37L7G4OQ,2017-08-30 15:52:22
B084J7CCY4,True,5.0,0,AGS47C3SO62X375JL7RWNBKCFXXA,2021-12-07 07:14:35
B095JJB6QP,True,5.0,0,AGS47C3SO62X375JL7RWNBKCFXXA,2021-12-07 07:00:00
B01KBI5GEU,False,5.0,4,AG3S4FROO422V5KP7DJCBXVUQLJQ,2016-10-09 16:59:59
B00005MXBU,False,5.0,1,AG3S4FROO422V5KP7DJCBXVUQLJQ,2016-10-08 01:34:26
B010U5EZMI,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2016-10-02 04:13:32
B00414B2YO,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2016-09-29 02:51:38
B008YNTE8Y,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2016-08-27 20:57:04
B01AH8H336,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2016-08-25 22:29:37
B00B9JSBFC,False,5.0,1,AG3S4FROO422V5KP7DJCBXVUQLJQ,2016-08-25 21:45:26
B01BBSGZIK,False,4.0,10,AG3S4FROO422V5KP7DJCBXVUQLJQ,2016-04-12 04:22:12
B0033Q1W8W,False,5.0,3,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-12-26 18:08:03
B00B6H7E8W,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-12-17 17:21:31
B00FZ15A90,False,5.0,2,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-12-12 21:28:42
B003MXXFSQ,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-12-08 15:56:13
B013H289UA,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-10-10 12:48:22
B00YBKPGYU,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-10-01 18:44:13
B004NQQ5TC,False,3.0,1,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-09-19 12:34:03
B001COGBU6,False,5.0,5,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-09-09 19:26:52
B00KJJRZWI,False,5.0,2,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-08-25 18:38:19
B004R74GMU,False,5.0,2,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-08-08 12:28:52
B0031H4NU2,False,5.0,1,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-07-25 11:52:45
B005B6UL5M,False,5.0,1,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-07-25 10:51:10
B00PBN414W,False,5.0,2,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-07-08 22:08:10
B00KNZ0F3E,False,5.0,1,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-07-07 13:55:56
B000EMU4A0,False,4.0,5,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-06-22 19:08:09
B0007WPXS0,False,5.0,2,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-06-06 19:15:41
B00B5I7QNU,False,5.0,1,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-05-26 16:26:12
B0014TBEJW,False,5.0,3,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-05-23 15:50:31
B0040ZI120,False,5.0,6,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-03-11 17:46:21
B006LMZBD2,False,5.0,1,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-03-11 16:37:57
B002RH0ND8,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2014-09-29 20:33:13
B000VPP00O,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-12-18 14:39:51
B000GEW86E,False,4.0,4,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-10-19 10:58:03
B00C9RCUSC,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-09-04 16:56:51
B001MPYMSI,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-09-02 14:02:01
B006TX2672,False,5.0,7,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-09-01 13:37:04
B003OFC2SG,False,5.0,2,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-02-09 16:10:14
B004CAA1SU,False,5.0,3,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-01-31 12:15:21
B007ZDO9G6,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2012-11-21 15:00:03
B000057NO8,False,5.0,4,AG3S4FROO422V5KP7DJCBXVUQLJQ,2012-08-02 13:24:10
B013H0W9Y4,True,4.0,0,AHF23TTAPE3MPI45R2YET4OGHFTA,2020-11-14 13:22:26
B003IQZS5A,True,5.0,0,AEN2NKUOAXGNLLT6DCQDQ2LK7M6Q,2022-09-11 04:05:44
B00CP6J968,True,5.0,1,AG25ZASYXSIF666IYOAOXJTTX2WQ,2017-10-08 17:24:33
B016NEFB0U,True,4.0,0,AEPTHE6UGTAHFEQTVNIB4K7H272Q,2017-05-21 01:52:41
B000KW2I94,True,2.0,0,AHTBBASAHXHHOXKLSSZG2IPUDDFA,2014-01-18 19:29:02
B00O4CW346,False,1.0,0,AGJFEHVC4XBS44CGHQTP4JQM5FUQ,2016-02-24 09:48:14
B00B4VYPKU,True,5.0,1,AGJFEHVC4XBS44CGHQTP4JQM5FUQ,2013-04-23 21:19:50
